HTC,flow_rate,conc_nano,Kfluid,heat_flux,X_D,HTC_ANN1,HTC_ANN2
2173,1.3e-05,0.0,0.604,26526,35,2284.536885,2217.24434
2599,1.3e-05,0.005,0.604,26526,35,2556.291873,2540.071679
2883,1.3e-05,0.01,0.604,26526,35,2875.415903,2846.506904
3235,1.3e-05,0.015,0.604,26526,35,3240.209815,3227.271372
2097,1.3e-05,0.0,0.604,26526,85,2135.918709,2008.223118
2279,1.3e-05,0.005,0.604,26526,85,2281.140775,2245.132236
2495,1.3e-05,0.01,0.604,26526,85,2486.851164,2477.036225
2756,1.3e-05,0.015,0.604,26526,85,2791.436147,2785.863646
2014,1.3e-05,0.0,0.604,26526,133,2031.603644,1994.755998
2181,1.3e-05,0.005,0.604,26526,133,2189.662208,2175.604507
2380,1.3e-05,0.01,0.604,26526,133,2385.019588,2360.347639
2617,1.3e-05,0.015,0.604,26526,133,2616.703207,2615.299071
1925,1.3e-05,0.0,0.604,26526,180,1944.30439,1920.543124
2078,1.3e-05,0.005,0.604,26526,180,2080.145793,2103.090912
2258,1.3e-05,0.01,0.604,26526,180,2257.860282,2275.766959
2472,1.3e-05,0.015,0.604,26526,180,2487.803826,2486.076215
3039,1.83e-05,0.0,0.604,26526,35,2987.435626,3000.920206
3433,1.83e-05,0.005,0.604,26526,35,3453.613902,3454.751985
3944,1.83e-05,0.01,0.604,26526,35,4011.058066,3970.069221
4635,1.83e-05,0.015,0.604,26526,35,4664.697217,4646.671573
2975,1.83e-05,0.0,0.604,26526,85,2977.34384,2970.633506
3353,1.83e-05,0.005,0.604,26526,85,3361.344523,3392.885944
3842,1.83e-05,0.01,0.604,26526,85,3838.945479,3861.288725
4497,1.83e-05,0.015,0.604,26526,85,4452.172812,4468.700543
2895,1.83e-05,0.0,0.604,26526,133,2856.208291,2856.73422
3254,1.83e-05,0.005,0.604,26526,133,3249.964306,3249.663775
3713,1.83e-05,0.01,0.604,26526,133,3733.4898,3719.033522
4323,1.83e-05,0.015,0.604,26526,133,4307.292802,4338.386889
2802,1.83e-05,0.0,0.604,26526,180,2769.314339,2782.197455
3137,1.83e-05,0.005,0.604,26526,180,3134.398021,3144.371764
3563,1.83e-05,0.01,0.604,26526,180,3590.498482,3565.960145
4123,1.83e-05,0.015,0.604,26526,180,4150.104985,4109.862993
2198,1.38e-05,0.0,0.604,21221,35,2203.206879,2201.69471
2453,1.38e-05,0.005,0.604,21221,35,2462.495727,2469.902565
2775,1.38e-05,0.01,0.604,21221,35,2788.589929,2774.250474
3193,1.38e-05,0.015,0.604,21221,35,3186.772649,3206.704614
2503,7.19e-05,0.0,0.349,26526,35,2541.314404,2531.174789
3086,7.19e-05,0.005,0.349,26526,35,3043.010131,3045.071246
3492,7.19e-05,0.01,0.349,26526,35,3553.528571,3508.987485
4022,7.19e-05,0.015,0.349,26526,35,4021.597005,4019.405851
1618,4.74e-05,0.0,0.349,26526,35,1600.716709,1576.846413
1844,4.74e-05,0.005,0.349,26526,35,1833.149056,1872.488547
2141,4.74e-05,0.01,0.349,26526,35,2143.398543,2135.159251
2554,4.74e-05,0.015,0.349,26526,35,2568.195156,2509.135231
1178,4.74e-05,0.0,0.349,26526,85,1219.794631,1151.634276
1359,4.74e-05,0.005,0.349,26526,85,1349.082973,1372.437339
1515,4.74e-05,0.01,0.349,26526,85,1510.689292,1526.066547
1710,4.74e-05,0.015,0.349,26526,85,1718.174144,1710.804673
1033,4.74e-05,0.0,0.349,26526,133,1040.364977,976.7697607
1170,4.74e-05,0.005,0.349,26526,133,1164.784452,1166.90428
1283,4.74e-05,0.01,0.349,26526,133,1281.233592,1287.27609
1421,4.74e-05,0.015,0.349,26526,133,1401.430086,1417.289965
919,4.74e-05,0.0,0.349,26526,180,927.3796984,917.4522532
1067,4.74e-05,0.005,0.349,26526,180,1050.489645,1058.3805
1160,4.74e-05,0.01,0.349,26526,180,1168.363489,1161.608739
1272,4.74e-05,0.015,0.349,26526,180,1274.351281,1272.578613
