HTC,flow_rate1,conc_nano1,Kfluid1,heat_flux1,X_D1,flow_rate2,conc_nano2,Kfluid2,heat_flux2,X_D2,m
0.647398844,1,50,2.5,2,4,24,120,0,30,150,2280
0.969869942,1,50,2.5,2,4,24,120,0,30,150,2726.3
1.793858382,1,50,2.5,5,4,24,120,0,30,150,3866.7
9.317196532,1,50,2.5,7,4,24,120,0,30,150,14279
14.61705202,1,50,2.5,7,4,24,120,0,30,150,21614
4.316907514,1,50,2.5,7,4,48,120,0,30,150,7358.6
5.830346821,1,50,2.5,7,4,48,120,0,30,150,9453.2
2.278034682,1,50,2.5,7,4,48,60,0,30,150,4536.8
3.721676301,1,50,2.5,7,4,48,60,0,30,150,6534.8
2.992268786,1,50,2.5,7,4,48,30,0,30,150,5525.3
3.480852601,1,50,2.5,7,4,48,30,0,30,150,6201.5
3.335621387,1,50,2.5,7,2.8,48,30,0,30,150,6000.5
4.160404624,1,50,2.5,7,2.8,48,30,0,30,150,7142
2.183526012,1,50,2.5,7,2.8,48,120,0,30,150,4406
2.384682081,1,50,2.5,7,2.8,48,120,0,30,150,4684.4
3.718280347,1,50,2.5,7,2.8,24,30,0,30,150,6530.1
1.767052023,1,50,2.5,7,2.8,24,30,0,30,150,3829.6
3.504046243,1,50,2.5,7,2.8,24,60,0,30,150,6233.6
6.414017341,1,50,2.5,7,2.8,24,60,0,30,150,10261
17.0816474,1,50,2.5,7,2.8,24,120,0,30,150,25025
16.98374277,1,50,2.5,7,2.8,24,120,0,30,150,24889.5
36.22615607,1,50,2.5,7,2.8,24,120,500,30,150,51521
37.93858382,1,50,2.5,7,2.8,24,120,500,30,150,53891
47.5982659,1,50,2.5,7,2.8,24,120,2000,30,150,67260
51.1466763,1,50,2.5,7,2.8,24,120,2000,30,150,72171
60.24638728,1,50,2.5,7,2.8,24,120,1000,30,150,84765
77.96820809,1,50,2.5,7,2.8,24,120,1000,30,150,109292
22.67702312,1,50,2.5,7,2.8,24,120,1000,30,180,32769
15.14956647,1,50,2.5,7,2.8,24,120,1000,30,180,22351
2.750433526,1,50,2.5,7,2.8,24,120,1000,30,120,5190.6
0.320520231,1,50,2.5,7,2.8,24,120,1000,30,120,1827.6
13.22586705,1,50,2.5,7,2.8,24,120,1000,45,150,19688.6
14.52998555,1,50,2.5,7,2.8,24,120,1000,45,150,21493.5
15.58352601,1,50,2.5,7,2.8,24,120,1000,45,150,22951.6
6.939450867,1,50,2.5,7,2.8,24,120,1000,15,150,10988.2
1.27449422,1,50,2.5,7,2.8,24,120,1000,15,150,3147.9
2.873193642,1,50,2.5,7,2.8,48,60,0,30,150,5360.5
