m,time,flowrate,temp,init conc,conc
0,1,200,30,1000,0
0,2,200,30,1000,0
0,3,200,30,1000,0
0,4,200,30,1000,0
0,5,200,30,1000,0
0,6,200,30,1000,0
0,7,200,30,1000,0
0,8,200,30,1000,0
0.02,9,200,30,1000,20
0.03,10,200,30,1000,30
0.04,11,200,30,1000,40
0.05,12,200,30,1000,50
0.07,13,200,30,1000,70
0.095,14,200,30,1000,95
0.21,15,200,30,1000,210
0.28,16,200,30,1000,280
0.58,17,200,30,1000,580
0.83,18,200,30,1000,830
0.94,19,200,30,1000,940
0.98,20,200,30,1000,980
1,21,200,30,1000,1000
1,22,200,30,1000,1000
0,1,100,30,1000,0
0,2,100,30,1000,0
0,3,100,30,1000,0
0,4,100,30,1000,0
0,5,100,30,1000,0
0,6,100,30,1000,0
0,7,100,30,1000,0
0,8,100,30,1000,0
0,9,100,30,1000,0
0,10,100,30,1000,0
0,11,100,30,1000,0
0,12,100,30,1000,0
0.02,13,100,30,1000,20
0.045,14,100,30,1000,45
0.07,15,100,30,1000,70
0.17,16,100,30,1000,170
0.24,17,100,30,1000,240
0.48,18,100,30,1000,480
0.57,19,100,30,1000,570
0.73,20,100,30,1000,730
0.79,21,100,30,1000,790
0.87,22,100,30,1000,870
0.94,23,100,30,1000,940
0.96,24,100,30,1000,960
0.99,25,100,30,1000,990
1,26,100,30,1000,1000
1,27,100,30,1000,1000
0,1,200,30,1000,0
0,2,200,30,1000,0
0,3,200,30,1000,0
0,4,200,30,1000,0
0,5,200,30,1000,0
0,6,200,30,1000,0
0,7,200,30,1000,0
0,8,200,30,1000,0
0.01,9,200,30,1000,10
0.02,10,200,30,1000,20
0.03,11,200,30,1000,30
0.045,12,200,30,1000,45
0.07,13,200,30,1000,70
0.095,14,200,30,1000,95
0.21,15,200,30,1000,210

0.28,16,200,30,1000,280
0.58,17,200,30,1000,580
0.83,18,200,30,1000,830
0.94,19,200,30,1000,940
0.98,20,200,30,1000,980
1,21,200,30,1000,1000
1,22,200,30,1000,1000
0,1,200,30,700,0
0,2,200,30,700,0
0,3,200,30,700,0
0,4,200,30,700,0
0,5,200,30,700,0
0,6,200,30,700,0
0,7,200,30,700,0
0,8,200,30,700,0
0,9,200,30,700,0
0,10,200,30,700,0
0,11,200,30,700,0
0,12,200,30,700,0
0,13,200,30,700,0
0,14,200,30,700,0
0.05,15,200,30,700,35
0.08,16,200,30,700,56
0.19,17,200,30,700,133
0.25,18,200,30,700,175
0.48,19,200,30,700,336
0.59,20,200,30,700,413
0.81,21,200,30,700,567
0.93,22,200,30,700,651
0.94,23,200,30,700,658
0.99,24,200,30,700,693
1,25,200,30,700,700
0,1,200,45,1000,0
0,2,200,45,1000,0
0,3,200,45,1000,0
0,4,200,45,1000,0
0,5,200,45,1000,0
0,6,200,45,1000,0
0,7,200,45,1000,0
0,8,200,45,1000,0
0,9,200,45,1000,0
0,10,200,45,1000,0
0.01,11,200,45,1000,10
0.02,12,200,45,1000,20
0.035,13,200,45,1000,35
0.07,14,200,45,1000,70
0.16,15,200,45,1000,160
0.31,16,200,45,1000,310
0.48,17,200,45,1000,480
0.65,18,200,45,1000,650
0.81,19,200,45,1000,810
0.9,20,200,45,1000,900
0.95,21,200,45,1000,950
0.98,22,200,45,1000,980
0.99,23,200,45,1000,990
1,24,200,45,1000,1000
1,25,200,45,1000,1000
