sheet_name,raw_sugar_color,raw_syrup_brix,raw_syrup_color,lime_alkalinity,co2_percent,carbonated_alkalinity,carbonated_pH,filtercake_moisture,filtercake_sugar,sweetwater_brix,sulphited_pH,sulphited_brix,sulphited_color,standard_liquor_pH,standard_liquor_brix,standard_liquor_color,white_moisture,white_invert,white_solution_color,white_apparent_color,white_ash,white_total_points
1404.06.01,1503.0,62.44,2230.0,8.03,6.31,0.0,7.07,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1404.06.02,1553.0,65.0,2780.0,9.16,6.51,0.02,7.62,27.81,0.19,59.58,7.23,59.58,311.0,9.04,54.24,754.0,16.130000000000003,16.130000000000003,16.130000000000003,16.130000000000003,16.130000000000003,16.130000000000003
1404.06.03,1301.0,62.2,2331.0,8.75,6.76,0.0,7.14,28.02,0.0,10.48,6.58,60.45,352.0,6.55,59.73,355.0,11.03,11.03,11.03,11.03,11.03,11.03
1404.06.04,1094.0,63.3,1966.0,7.78,10.21,0.0,7.49,27.82,0.0,13.85,6.88,56.88,239.0,6.97,54.92,232.0,12.03,12.03,12.03,12.03,12.03,12.03
1404.06.05,1347.0,62.65,2732.0,8.16,6.71,0.0,7.42,28.82,0.0,22.18,7.21,57.4,342.0,7.2,54.1,333.0,11.58,11.58,11.58,11.58,11.58,11.58
1404.06.06,1564.0,64.88,2242.0,8.18,6.93,0.0,7.71,28.82,0.0,20.07,7.12,57.23,396.0,6.96,58.82,431.0,13.84,13.84,13.84,13.84,13.84,13.84
1404.06.07,889.0,58.86,1874.0,9.26,8.02,0.0,7.71,27.62,0.19,20.07,6.79,57.4,236.0,6.59,57.26,260.0,15.41,15.41,15.41,15.41,15.41,15.41
1404.06.08,919.0,63.13,1958.0,8.28,7.61,0.0,7.3,28.11,0.09,24.45,7.18,60.26,222.0,6.74,59.18,341.0,11.74,11.74,11.74,11.74,11.74,11.74
1404.06.09,858.0,62.92,1969.0,8.0,6.35,0.0,7.36,27.42,0.08,24.25,7.36,60.9,351.0,7.25,60.0,323.0,11.05,11.05,11.05,11.05,11.05,11.05
1404.09.10,1520.0,64.86,1988.0,8.22,9.36,0.0,8.76,28.01,0.27,21.93,7.07,59.22,425.0,7.21,59.7,426.0,12.66,12.66,12.66,12.66,12.66,12.66
1404.06.11,1849.0,61.58,2736.0,8.97,9.62,0.0,7.59,28.09,0.17,24.13,6.96,60.02,343.0,7.34,62.27,506.0,13.15,13.15,13.15,13.15,13.15,13.15
1404.06.12,1291.0,64.5,2318.0,8.13,7.93,0.0,7.28,27.85,0.0,27.12,7.13,61.98,394.0,7.31,60.93,465.0,14.549999999999999,14.549999999999999,14.549999999999999,14.549999999999999,14.549999999999999,14.549999999999999
1404.06.13,978.0,64.58,1870.0,8.16,13.47,0.0,7.12,28.05,0.0,24.84,6.88,61.0,388.0,7.23,63.24,581.0,14.8,14.8,14.8,14.8,14.8,14.8
1404.06.14,1079.0,65.38,1937.0,10.02,11.67,0.0,7.35,27.89,0.0,34.08,7.16,62.8,473.0,7.11,61.88,493.0,13.219999999999999,13.219999999999999,13.219999999999999,13.219999999999999,13.219999999999999,13.219999999999999
1404.06.15,991.0,64.2,1890.0,7.54,13.75,0.0,7.41,28.01,0.0,33.58,7.24,59.62,441.0,7.14,59.98,440.0,13.889999999999999,13.889999999999999,13.889999999999999,13.889999999999999,13.889999999999999,13.889999999999999
1404.06.16,1010.0,65.04,2044.0,7.15,13.27,0.0,7.15,27.81,0.0,29.74,7.06,62.44,493.0,7.09,61.58,537.0,13.5,13.5,13.5,13.5,13.5,13.5
1404.06.17,973.0,64.72,1884.0,7.82,13.78,0.0,7.44,27.89,0.19,26.41,7.28,62.4,464.0,7.28,59.1,395.0,13.49,13.49,13.49,13.49,13.49,13.49
1404.06.18,1235.0,63.52,2397.0,7.4,14.01,0.0,7.05,28.89,0.5,22.36,6.83,61.96,434.0,7.06,62.28,358.0,12.24,12.24,12.24,12.24,12.24,12.24
1404.06.19,925.0,63.7,2311.0,7.72,13.4,0.0,7.11,28.02,0.33,21.71,7.02,61.42,388.0,7.13,61.38,423.0,13.8,13.8,13.8,13.8,13.8,13.8
1404.06.20,1508.0,64.3,2535.0,7.83,13.75,0.0,7.31,28.09,0.05,22.72,7.15,61.95,442.0,6.98,61.57,485.0,11.81,11.81,11.81,11.81,11.81,11.81
1404.06.21,1108.0,64.88,2155.0,8.95,13.52,0.0,8.28,28.15,0.19,28.88,7.21,62.25,444.0,6.63,60.56,469.0,13.86,13.86,13.86,13.86,13.86,13.86
1404.06.22,940.0,62.55,2343.0,9.0,10.64,0.0,7.9,30.85,0.02,28.29,7.47,62.13,463.0,7.31,61.72,443.0,12.25,12.25,12.25,12.25,12.25,12.25
1404.06.23,999.0,62.96,2036.0,8.27,14.25,0.0,7.58,27.65,0.23,29.91,7.18,62.47,472.0,7.5,61.73,499.0,16.34,16.34,16.34,16.34,16.34,16.34
1404.06.24,855.0,62.65,2150.0,8.52,14.11,0.0,7.67,28.73,0.44,32.45,7.14,61.63,473.0,7.33,62.45,476.0,15.930000000000001,15.930000000000001,15.930000000000001,15.930000000000001,15.930000000000001,15.930000000000001
1404.06.25,1146.0,62.48,2441.0,8.1,10.92,0.0,7.57,27.82,0.1,29.97,6.73,62.57,448.0,7.05,62.23,469.0,14.7,14.7,14.7,14.7,14.7,14.7
1404.06.26,887.0,62.08,2559.0,8.63,11.04,0.0,7.54,28.05,0.0,35.1,6.99,61.8,440.0,7.01,61.07,411.0,16.39,16.39,16.39,16.39,16.39,16.39
1404.06.27,1179.0,62.52,2864.0,8.23,10.84,0.0,7.49,27.25,0.0,48.13,7.32,62.45,354.0,7.25,60.78,375.0,14.299999999999999,14.299999999999999,14.299999999999999,14.299999999999999,14.299999999999999,14.299999999999999
1404.06.28,1773.0,62.6,3314.0,7.92,10.74,0.0,7.63,27.42,0.07,28.27,7.59,61.58,504.0,7.13,61.87,572.0,15.91,15.91,15.91,15.91,15.91,15.91
1404.06.29,1389.0,64.13,2927.0,7.03,10.89,0.0,7.48,29.16,0.15,21.41,7.04,61.04,475.0,7.01,61.24,514.0,15.479999999999999,15.479999999999999,15.479999999999999,15.479999999999999,15.479999999999999,15.479999999999999
1404.06.30,1395.0,62.7,2893.0,7.02,10.7,0.0,7.64,27.89,0.18,50.63,7.41,61.4,572.0,7.16,61.45,537.0,16.21,16.21,16.21,16.21,16.21,16.21
1404.06.31,1426.0,65.25,2766.0,7.2,11.24,0.0,7.28,28.06,0.12,48.15,6.86,61.12,563.0,7.05,59.77,479.0,15.279999999999998,15.279999999999998,15.279999999999998,15.279999999999998,15.279999999999998,15.279999999999998
1404.07.01,1166.0,63.48,2448.0,7.3,11.08,0.0,7.6,28.02,0.03,21.73,7.0,63.37,450.0,7.15,61.3,567.0,15.61,15.61,15.61,15.61,15.61,15.61
1404.07.02,924.0,65.0,2432.0,7.3,11.03,0.0,7.51,27.89,0.14,23.52,7.08,62.05,486.0,7.06,61.47,430.0,13.26,13.26,13.26,13.26,13.26,13.26
1404.07.03,1059.0,62.5,2379.0,8.31,11.01,0.0,7.42,27.89,0.37,21.34,7.28,60.17,504.0,7.12,60.41,491.0,12.870000000000001,12.870000000000001,12.870000000000001,12.870000000000001,12.870000000000001,12.870000000000001
1404.07.04,1535.0,65.17,2712.0,7.38,11.21,0.0,7.61,28.71,0.04,27.84,7.22,60.08,531.0,7.06,59.1,531.0,16.2,16.2,16.2,16.2,16.2,16.2
1404.07.05,1082.0,64.47,2416.0,8.78,11.07,0.0,7.63,28.32,0.23,29.13,7.28,63.91,561.0,7.29,63.08,601.0,16.98,16.98,16.98,16.98,16.98,16.98
1404.07.06,915.0,64.66,2157.0,8.92,11.14,0.0,7.48,28.35,0.1,40.12,7.29,62.28,389.0,7.33,60.79,396.0,14.53,14.53,14.53,14.53,14.53,14.53
1404.07.07,976.0,61.73,2540.0,8.63,10.99,0.0,7.45,28.05,0.0,24.38,7.28,60.87,413.0,7.43,61.17,479.0,15.35,15.35,15.35,15.35,15.35,15.35
1404.07.08,918.0,61.02,2673.0,8.21,10.98,0.0,7.34,29.54,0.04,19.62,7.03,57.1,386.0,7.59,57.43,452.0,15.02,15.02,15.02,15.02,15.02,15.02
1404.07.09,1372.0,61.46,2318.0,8.62,10.34,0.0,7.35,28.11,0.09,33.76,6.79,60.46,416.0,7.18,59.35,475.0,16.439999999999998,16.439999999999998,16.439999999999998,16.439999999999998,16.439999999999998,16.439999999999998
1404.07.10,1128.0,62.62,2338.0,8.03,10.94,0.0,7.4,28.05,0.16,30.17,6.94,63.48,466.0,7.14,60.42,388.0,12.139999999999999,12.139999999999999,12.139999999999999,12.139999999999999,12.139999999999999,12.139999999999999
1404.07.11,1174.0,62.22,2356.0,8.93,11.08,0.0,7.41,27.89,0.25,24.01,7.12,62.68,456.0,7.25,63.1,412.0,14.760000000000002,14.760000000000002,14.760000000000002,14.760000000000002,14.760000000000002,14.760000000000002
1404.07.12,1352.0,64.5,2417.0,7.63,10.94,0.0,7.53,28.02,0.39,24.61,7.17,62.63,461.0,7.13,63.43,508.0,17.23,17.23,17.23,17.23,17.23,17.23
1404.07.13,1133.0,64.3,2611.0,6.87,10.33,0.0,7.51,28.02,0.0,23.52,6.5,61.28,473.0,7.03,62.05,555.0,14.809999999999999,14.809999999999999,14.809999999999999,14.809999999999999,14.809999999999999,14.809999999999999
1404.07.14,1186.0,63.8,2522.0,7.7,11.03,0.0,7.48,27.89,0.0,21.97,7.39,63.6,564.0,7.23,62.46,475.0,17.88,17.88,17.88,17.88,17.88,17.88
1404.07.15,1114.0,63.47,2508.0,7.67,10.86,0.0,7.38,27.89,0.0,25.95,6.79,63.92,461.0,7.17,61.98,482.0,17.44,17.44,17.44,17.44,17.44,17.44
1404.07.16,1149.0,63.75,2127.0,7.8,11.15,0.0,7.47,28.06,0.1,20.7,7.22,61.72,399.0,7.17,61.95,476.0,14.34,14.34,14.34,14.34,14.34,14.34
1404.07.17,1084.0,64.9,2525.0,7.13,11.2,0.0,7.61,29.51,0.2,30.64,6.71,62.87,524.0,7.29,62.1,545.0,15.849999999999998,15.849999999999998,15.849999999999998,15.849999999999998,15.849999999999998,15.849999999999998
1404.07.18,1155.0,62.43,2444.0,8.15,10.33,0.0,7.51,28.32,0.02,34.58,6.91,62.42,456.0,7.38,63.1,604.0,13.9,13.9,13.9,13.9,13.9,13.9
1404.07.19,1191.0,63.42,2432.0,7.89,10.72,0.0,7.51,28.05,0.0,39.12,7.01,59.37,481.0,6.37,61.73,585.0,13.89,13.89,13.89,13.89,13.89,13.89
1404.07.20,1171.0,62.72,2429.0,7.38,10.65,0.0,7.84,27.89,0.31,36.34,6.79,65.83,460.0,6.89,62.23,444.0,14.3,14.3,14.3,14.3,14.3,14.3
1404.07.21,898.0,62.45,2451.0,7.92,10.91,0.0,7.37,27.95,0.12,28.97,6.8,63.12,452.0,7.06,61.43,443.0,15.250000000000002,15.250000000000002,15.250000000000002,15.250000000000002,15.250000000000002,15.250000000000002
1404.07.22,1184.0,61.48,2414.0,8.3,11.01,0.0,7.54,27.42,0.1,33.68,6.9,63.32,404.0,7.0,61.62,378.0,13.11,13.11,13.11,13.11,13.11,13.11
1404.07.23,1698.0,62.72,2850.0,8.38,11.26,0.0,7.85,27.82,0.14,16.16,6.63,63.67,524.0,6.95,60.48,477.0,16.05,16.05,16.05,16.05,16.05,16.05
1404.07.24,1296.0,58.63,2524.0,8.08,10.84,0.0,7.32,28.32,0.17,24.82,6.4,63.18,372.0,6.72,61.18,354.0,13.159999999999998,13.159999999999998,13.159999999999998,13.159999999999998,13.159999999999998,13.159999999999998
1404.07.25,2363.0,62.7,4356.0,10.68,10.89,0.0,7.35,28.06,0.12,32.88,6.48,61.77,570.0,6.6,59.62,579.0,17.21,17.21,17.21,17.21,17.21,17.21
1404.07.26,2047.0,61.03,4318.0,8.83,10.84,0.0,7.34,28.09,0.29,20.82,6.71,60.5,601.0,6.77,60.1,602.0,18.52,18.52,18.52,18.52,18.52,18.52
1404.07.27,2102.0,61.63,4283.0,9.73,11.05,0.0,7.73,28.06,0.18,14.71,6.82,58.82,661.0,7.12,58.17,711.0,18.35,18.35,18.35,18.35,18.35,18.35
1404.07.28,2074.0,59.97,4497.0,9.0,11.24,0.0,7.79,28.2,0.07,14.32,6.77,57.72,620.0,7.05,57.52,637.0,18.900000000000002,18.900000000000002,18.900000000000002,18.900000000000002,18.900000000000002,18.900000000000002
1404.07.29,2019.0,59.25,4545.0,9.93,10.9,0.0,7.6,28.07,0.39,14.45,7.06,59.45,683.0,6.89,59.06,624.0,21.21,21.21,21.21,21.21,21.21,21.21
1404.07.30,2091.0,60.57,4249.0,9.0,10.68,0.0,7.67,28.02,0.12,18.19,6.74,58.72,527.0,7.15,58.78,544.0,20.15,20.15,20.15,20.15,20.15,20.15
1404.08.01,2592.0,60.78,4526.0,8.56,11.01,0.0,7.83,28.06,0.1,20.46,6.93,61.38,683.0,7.3,60.43,622.0,22.52,22.52,22.52,22.52,22.52,22.52
1404.08.02,2378.0,58.17,4620.0,10.3,10.92,0.01,8.01,28.04,0.39,20.96,6.74,61.37,623.0,7.06,62.03,562.0,23.52,23.52,23.52,23.52,23.52,23.52
1404.08.03,2231.0,63.69,4215.0,9.47,10.92,0.0,7.65,28.72,0.19,26.71,6.89,61.05,578.0,6.93,60.52,564.0,23.59,23.59,23.59,23.59,23.59,23.59
1404.08.04,2333.0,61.62,4345.0,10.08,10.71,0.0,7.43,27.32,0.26,12.89,6.53,59.33,458.0,6.87,57.87,573.0,16.689999999999998,16.689999999999998,16.689999999999998,16.689999999999998,16.689999999999998,16.689999999999998
1404.08.05,2447.0,62.0,4581.0,10.02,10.71,0.0,7.68,28.51,0.14,15.64,6.66,56.27,633.0,6.95,56.82,642.0,15.34,15.34,15.34,15.34,15.34,15.34
1404.08.06,2248.0,62.1,4178.0,10.55,11.01,0.0,8.03,28.71,0.17,17.45,7.24,60.9,557.0,7.09,59.52,510.0,13.1,13.1,13.1,13.1,13.1,13.1
1404.08.07,2181.0,63.38,4292.0,9.73,10.68,0.0,7.65,28.11,0.05,10.86,6.83,56.53,680.0,7.03,56.7,660.0,17.91,17.91,17.91,17.91,17.91,17.91
1404.08.08,2488.0,62.55,4066.0,9.31,10.97,0.0,7.53,27.35,0.19,27.45,7.78,60.03,865.0,7.43,58.68,667.0,16.939999999999998,16.939999999999998,16.939999999999998,16.939999999999998,16.939999999999998,16.939999999999998
1404.08.09,2247.0,65.0,4441.0,8.59,10.49,0.0,7.72,28.06,0.02,20.71,6.87,62.7,773.0,6.98,61.32,684.0,15.68,15.68,15.68,15.68,15.68,15.68
1404.08.10,2144.0,63.98,4099.0,10.0,10.83,0.0,7.54,28.07,0.13,23.84,6.93,60.32,564.0,6.73,59.78,535.0,17.19,17.19,17.19,17.19,17.19,17.19
1404.08.11,2306.0,62.43,4333.0,8.75,10.94,0.0,7.62,28.02,0.46,18.24,6.62,62.98,590.0,6.56,61.73,633.0,15.489999999999998,15.489999999999998,15.489999999999998,15.489999999999998,15.489999999999998,15.489999999999998
1404.08.12,2473.0,60.35,4308.0,9.89,10.94,0.0,7.68,28.01,0.03,25.95,6.56,60.72,557.0,6.97,61.53,542.0,18.139999999999997,18.139999999999997,18.139999999999997,18.139999999999997,18.139999999999997,18.139999999999997
1404.08.13,2109.0,61.9,4197.0,9.97,10.58,0.0,7.56,27.82,0.15,32.29,6.95,60.77,613.0,7.09,61.17,631.0,17.29,17.29,17.29,17.29,17.29,17.29
1404.08.14,2222.0,65.47,4204.0,9.48,10.86,0.0,7.94,29.07,0.16,19.49,6.9,61.9,537.0,7.06,60.22,519.0,17.740000000000002,17.740000000000002,17.740000000000002,17.740000000000002,17.740000000000002,17.740000000000002
1404.08.15,2385.0,64.6,4108.0,9.67,10.75,0.0,7.3,28.02,0.08,25.34,6.85,63.83,670.0,6.56,62.5,618.0,15.3,15.3,15.3,15.3,15.3,15.3
1404.08.16,2191.0,60.13,4261.0,8.67,10.71,0.0,7.97,28.06,0.44,35.05,7.26,57.27,650.0,6.61,57.5,580.0,18.92,18.92,18.92,18.92,18.92,18.92
1404.08.17,2197.0,62.32,4204.0,10.03,10.78,0.0,7.63,28.07,0.04,29.73,6.88,56.87,513.0,6.92,476.0,56.78,17.63,17.63,17.63,17.63,17.63,17.63
1404.08.18,2094.0,63.03,4213.0,9.97,10.9,0.0,7.73,28.01,0.24,21.62,6.82,59.82,645.0,6.98,56.78,723.0,17.46,17.46,17.46,17.46,17.46,17.46
1404.08.19,2180.0,62.2,3962.0,9.87,11.26,0.0,7.55,29.56,0.09,25.79,6.73,58.17,580.0,6.94,57.68,581.0,18.57,18.57,18.57,18.57,18.57,18.57
1404.08.20,2346.0,62.28,4523.0,9.48,11.22,0.0,7.8,27.85,0.28,21.63,6.94,61.35,620.0,6.91,60.68,576.0,16.4,16.4,16.4,16.4,16.4,16.4
1404.08.21,2346.0,62.8,4462.0,9.6,11.07,0.0,7.5,27.81,0.23,28.87,6.72,62.48,463.0,6.81,61.82,579.0,17.86,17.86,17.86,17.86,17.86,17.86
1404.08.22,2303.0,61.95,3108.0,9.95,10.84,0.0,7.44,28.51,0.45,28.82,6.93,60.86,553.0,6.89,59.57,596.0,15.44,15.44,15.44,15.44,15.44,15.44
1404.08.23,2408.0,58.42,4311.0,7.68,10.82,0.0,7.47,28.15,0.0,24.57,6.94,60.2,687.0,6.75,61.34,699.0,14.850000000000001,14.850000000000001,14.850000000000001,14.850000000000001,14.850000000000001,14.850000000000001
1404.08.24,2202.0,62.62,3923.0,8.27,11.22,0.01,8.0,30.12,0.38,27.18,6.82,59.6,650.0,7.15,58.92,621.0,13.16,13.16,13.16,13.16,13.16,13.16
1404.08.25,1999.0,60.65,3533.0,8.95,9.97,0.01,7.93,28.02,0.0,22.49,6.94,59.17,511.0,7.05,59.5,493.0,15.07,15.07,15.07,15.07,15.07,15.07
1404.08.26,2169.0,61.43,3564.0,8.58,10.64,0.0,8.0,28.12,0.01,25.69,6.94,60.15,518.0,6.98,60.75,590.0,16.46,16.46,16.46,16.46,16.46,16.46
1404.08.27,2257.0,62.12,4113.0,8.33,11.3,0.01,7.94,27.89,0.04,26.51,6.83,59.53,514.0,6.88,60.73,583.0,16.13,16.13,16.13,16.13,16.13,16.13
